"Código","Longitud","Latitud"
"20104","-6,201076","42,63258"
"20105","-6,251474","42,630499"
"20106","-6,294997","42,606838"
"20108","-6,282474","42,61485"
"20109","-6,328919","42,595474"
"20111","-6,422196","42,609592"
"20112","",""
"20113","-6,523836","42,586421"
"20114","",""
"20200","-6,602317","42,545401"
"20201","-6,686117","42,543764"
"20202","",""
"20203","-6,75114","42,536861"
"20204","-6,776612","42,541059"
"20205","",""
"20206","",""
"20207","-6,830848","42,475258"
"20208","-6,829572","42,420675"
"20209","",""
"20210","-6,91195","42,414828"
"20211","-6,985082","42,418235"
"20212","-7,061464","42,411558"
"20213","-7,113296","42,392661"
"20214","-7,194572","42,393743"
"20215","-7,227557","42,445462"
"20216","-7,287196","42,465221"
"20217","-7,344368","42,483336"
"20218","-7,400087","42,533735"
"20300","-7,503479","42,529591"
"20302","",""
"20303","-7,484901","42,649062"
"20304","-7,447768","42,721829"
"20305","-7,418891","42,784075"
