Fecha	T.ida	T.vuelta
20240112	20003	20012
20240112	20012	20019
20240112	20019	20024
20240112	20024	20125
20240112	20125	20124
20240112	20124	20035
20240112	20035	20042
20240112	20042	20053
20240112	20053	20054
20240112	20054	20157
20240112	20157	20144
20240112	20144	20075
20240112	20075	20082
20240112	20082	20087
20240112	20087	
20240112	20002	20005
20240112	20005	20221
20240112	20221	20238
20240112	20238	20245
20240112	20245	
20240112	20002	20005
20240112	20005	20221
20240112	20221	20238
20240112	20238	20245
20240112	20245	
20240112	20004	20007
20240112	20007	20020
20240112	20020	20123
20240112	20123	20122
20240112	20122	20029
20240112	20029	20034
20240112	20034	20045
20240112	20045	20046
20240112	20046	20055
20240112	20055	20058
20240112	20058	
20240112	20004	20007
20240112	20007	20020
20240112	20020	20123
20240112	20123	20122
20240112	20122	20029
20240112	20029	20034
20240112	20034	20045
20240112	20045	20046
20240112	20046	20055
20240112	20055	20058
20240112	20058	
20240112	20006	20011
20240112	20011	20022
20240112	20022	20025
20240112	20025	20030
20240112	20030	20129
20240112	20129	20128
20240112	20128	20047
20240112	20047	20048
20240112	20048	20151
20240112	20151	20140
20240112	20140	20069
20240112	20069	
20240112	20006	20011
20240112	20011	20022
20240112	20022	20025
20240112	20025	20030
20240112	20030	20129
20240112	20129	20128
20240112	20128	20047
20240112	20047	20048
20240112	20048	20151
20240112	20151	20140
20240112	20140	20069
20240112	20069	
20240112	20174	
20240112	20174	
20240112	20175	20176
20240112	20176	
20240112	20175	20176
20240112	20176	
20240112	37041	
20240112	37040	20105
20240112	20105	
20240112	20105	
20240112	20602	20623
20240112	20623	20630
20240112	20630	20249
20240112	20249	
20240112	20602	20623
20240112	20623	20630
20240112	20630	20249
20240112	20249	
20240112	39196	20253
20240112	20253	20218
20240112	20218	20225
20240112	20225	20242
20240112	20242	20172
20240112	20172	20143
20240112	20143	20056
20240112	20056	20063
20240112	20063	20066
20240112	20066	20167
20240112	20167	20154
20240112	20154	
20240112	39196	20253
20240112	20253	20218
20240112	20218	20225
20240112	20225	20242
20240112	20242	20172
20240112	20172	20143
20240112	20143	20056
20240112	20056	20063
20240112	20063	20066
20240112	20066	20167
20240112	20167	20154
20240112	20154	
20240112	20604	20625
20240112	20625	20632
20240112	20632	20833
20240112	20833	20836
20240112	20836	20849
20240112	20849	20852
20240112	20852	20865
20240112	20865	20868
20240112	20868	20881
20240112	20881	20884
20240112	20884	20897
20240112	20897	20900
20240112	20900	20517
20240112	20517	
